0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/core/grid.js?v=988 HTTP/1.1" 200 210533
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/core/page.js?v=902 HTTP/1.1" 200 172904
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/Customize/customjs/test2.js HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/core/system_init.js?v=902 HTTP/1.1" 200 23120
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/new-img/mbg.jpg HTTP/1.1" 200 204722
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/new-img/top_bg.jpg HTTP/1.1" 200 74142
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/new-img/menu-bg.gif HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/menu_back.png HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/new-img/loginin.png HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/lmbg.gif HTTP/1.1" 200 61014
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 12833
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 9350
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/img/cpbg.jpg HTTP/1.1" 200 27938
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/core/menu.js?_=1558917442821 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:23 +0800] "GET /WF_CAR/img/new-img/man2.jpg HTTP/1.1" 200 15532
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:23 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 3779
